,id,size,brand,size_standard,gender,material,color,category,subcategory,name,description,picture_1,picture_2,picture_3,country,net_price,currency_code
91,62938f2f894e6800124ac993,2XL,Armani Collezioni,UK,Male,Cotton,Navy,Jackets,Casual jackets,Armani jeans zipper ,Armani jeans zipper retro XXL navy blue slim fit ,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/9a0ecd4a-dc0a-440e-8960-2c803ee137ba.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/35b49a16-f0fd-4d7f-820b-8734815b5c5c.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/985919b1-98cd-4847-8730-ae5e655d0597.jpg,UK,17.85,GBP
92,62938f2f894e6800124ac993,2XL,Armani Collezioni,UK,Male,Cotton,Navy,Jackets,Casual jackets,Armani jeans zipper ,Armani jeans zipper retro XXL navy blue slim fit ,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/411d25f4-0342-46e7-82f4-9d43afaf26bb.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/19531f3d-9f40-4d41-8eaf-2caafb034672.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/5c72283c-2476-433c-860a-61c70e0e0a91.jpg,UK,17.85,GBP
93,62938f2f894e6800124ac993,2XL,Armani Collezioni,UK,Male,Cotton,Navy,Jackets,Casual jackets,Armani jeans zipper ,Armani jeans zipper retro XXL navy blue slim fit ,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/de13437f-7b55-429b-b994-a36d6747924e.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/9d4b11d8-41af-412b-955e-5fa4efd383ab.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/998afed3-5cb5-44b5-b22e-6659076361eb.jpg,UK,17.85,GBP
94,62960963c262bb0012d372d9,M,Kenzo,UK,Male,Cotton,Black,Sweaters and knitwear,Crew neck jumpers,Kenzo sweatshirt ,this is an authentic kenzo sweatshirt. ,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/cff432c9-4da7-43cd-b8cf-6212f97a1994.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/f6d0b74f-349f-4937-af9e-ad8c8e28fc39.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/d17454c2-9a8c-485a-bb6f-337cab72b69e.jpg,UK,44.84,GBP
95,6297987fda572c0013049f8b,32,Balmain,UK,Male,Denim - Jeans,Blue,Jeans,Skinny jeans,"Men's balmain jeans, washed and distressed","Men's balmain jeans, washed and
distressed, skinny fit, good condition, worn 2-3 times.
",https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/15aef244-c153-4c3a-bd03-f6a2f796908e.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/58b59d27-269f-4199-b6fb-c61f3ade119f.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/3c038bdb-4636-4190-98e4-c7aeb90c8b44.jpg,UK,121.73,GBP
96,6297987fda572c0013049f8b,32,Balmain,UK,Male,Denim - Jeans,Blue,Jeans,Skinny jeans,"Men's balmain jeans, washed and distressed","Men's balmain jeans, washed and
distressed, skinny fit, good condition, worn 2-3 times.
",https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/942b4b08-cdd8-42a1-84e8-cd7caa7d7a94.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/cd91ae1a-2a68-4f2f-a5ae-cc329ee64009.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/ae31ddf5-21a4-43d6-8367-91df85874c5e.jpg,UK,121.73,GBP
97,6297987fda572c0013049f8b,32,Balmain,UK,Male,Denim - Jeans,Blue,Jeans,Skinny jeans,"Men's balmain jeans, washed and distressed","Men's balmain jeans, washed and
distressed, skinny fit, good condition, worn 2-3 times.
",https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/78fd2586-64e1-4e33-bde3-f957fa3793a8.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/beb318bc-b496-4d79-9fc1-11b50565ebe2.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/dcbd5da2-da54-4c66-9647-9f7d3b3111de.jpg,UK,121.73,GBP
101,629a1149887d490012f370e0,M,Guess,UK,Male,Cotton,Black,T-shirts,Short sleeve t-shirts,Black Guess t shirt,Black/red guess t shirt / size M,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/cd2a03e4-5f95-4c9c-8079-1751ac56faf6.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/c37c309b-c4fd-436f-9900-afcc4fa6beed.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/e188c458-548e-4ece-964f-2bb350c609ad.jpg,UK,3.99,GBP
102,629a1149887d490012f370e0,M,Guess,UK,Male,Cotton,Black,T-shirts,Short sleeve t-shirts,Black Guess t shirt,Black/red guess t shirt / size M,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/36142f95-d274-4a99-a903-34e9067195a7.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/f94247ad-43ab-4d2c-811f-06352303360d.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/974a3088-3f1f-40bc-b2fe-3775bcbca6bb.jpg,UK,3.99,GBP
103,629a1149887d490012f370e0,M,Guess,UK,Male,Cotton,Black,T-shirts,Short sleeve t-shirts,Black Guess t shirt,Black/red guess t shirt / size M,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/844e5b6b-8051-42a3-a1a8-4e3ec7cb4cb8.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/cf23ce9f-576d-4175-ae07-01f5f02a485d.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/447a9f98-2008-4d2d-b3c9-d2d03317067f.jpg,UK,3.99,GBP
