,id,size,brand,size_standard,gender,material,color,category,subcategory,name,description,picture_1,picture_2,picture_3,country,net_price,currency_code
190,62bb459733dd9b001783b7d7,W27,Reiss,EU,Female,Mixed Fabric,Black,Jeans,Skinny jeans,Womens Reiss skinny jeans ,Womens Reiss skinny black jeans. Perfect condition and machine washable. ,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/45f27b23-5383-45be-8d12-b3f4fdf36548.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/3a7782c2-a269-42a2-a11c-94332cfe4832.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/141a0daf-a39c-4f66-9994-4f8dbe0cdc38.jpg,UK,8.3,GBP
193,62bb4a7333dd9b001783b8ea,M,Ralph Lauren,UK,Male,Cotton,Red,Sweaters and knitwear,Zipped sweaters,Ralph Lauren Quarterzip ,Red Ralph Lauren Quarterzip from urban outfitters. Never been worn. Label still in ,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/c4728ed0-07ed-4bc2-a8e9-7de6a528033d.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/6ffba8ba-0d11-41cf-9a81-5ba1cb3d0b07.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/456184be-2fe3-4ef2-a15d-8be35a4f93b2.jpg,UK,12.15,GBP
196,62bb4fa433dd9b001783ba49,S,Levi's,UK,Male,Cotton,Black,Hoodies,Hoodies,Black Levi Hoody ,"Black Levi Hoody, size is small and is in good condition ",https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/9a0ecd4a-dc0a-440e-8960-2c803ee137ba.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/35b49a16-f0fd-4d7f-820b-8734815b5c5c.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/985919b1-98cd-4847-8730-ae5e655d0597.jpg,UK,6.13,GBP
199,62bb52bb33dd9b001783baf8,L,Levi's,UK,Male,Denim - Jeans,Blue,Jeans,Straight-leg jeans,Levi Jeans ,Men light blue Levi jeans. Excellent Condition. W34 L32,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/411d25f4-0342-46e7-82f4-9d43afaf26bb.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/19531f3d-9f40-4d41-8eaf-2caafb034672.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/5c72283c-2476-433c-860a-61c70e0e0a91.jpg,UK,12.33,GBP
202,62bc55cd7b393b001207d7b3,XL,Napapijri,UK,Male,Mixed Fabric,Grey,Coats,Raincoats and trench coats,Napajiri raincoat,"Thick raincoat normal rrp: 120
",https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/de13437f-7b55-429b-b994-a36d6747924e.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/9d4b11d8-41af-412b-955e-5fa4efd383ab.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/998afed3-5cb5-44b5-b22e-6659076361eb.jpg,UK,43.89,GBP
203,62bc62157b393b001207da75,10,Moschino Love,UK,Female,Cotton - elasthane,Black,Dresses,Casual and day dresses,love moschino daywear dress,"two gold heart rings black dress
",https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/cff432c9-4da7-43cd-b8cf-6212f97a1994.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/f6d0b74f-349f-4937-af9e-ad8c8e28fc39.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/d17454c2-9a8c-485a-bb6f-337cab72b69e.jpg,UK,27.29,GBP
206,62bc67b87b393b001207dbcb,XL,Vivienne Westwood,UK,Male,Cotton,Black,T-shirts,Short sleeve t-shirts,Vivienne Westwood T Shirt,extra large vivienne westwood top in black,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/15aef244-c153-4c3a-bd03-f6a2f796908e.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/58b59d27-269f-4199-b6fb-c61f3ade119f.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/3c038bdb-4636-4190-98e4-c7aeb90c8b44.jpg,UK,12.67,GBP
209,62bc6ba57b393b001207dcb5,S,Champion,UK,Male,Cotton,Black,Sweatshirts,Sweatshirts,men’s champion hoodie in black ,men’s champion hoodie in black jersey style,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/942b4b08-cdd8-42a1-84e8-cd7caa7d7a94.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/cd91ae1a-2a68-4f2f-a5ae-cc329ee64009.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/ae31ddf5-21a4-43d6-8367-91df85874c5e.jpg,UK,10.05,GBP
212,62bc77e57b393b001207de7c,XL,Champion,US,Male,Mixed Fabric,Blue,Hoodies,Hoodies,Blue hoodie ,"Blue champion hoodie, cotton Polly blend ",https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/78fd2586-64e1-4e33-bde3-f957fa3793a8.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/beb318bc-b496-4d79-9fc1-11b50565ebe2.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/dcbd5da2-da54-4c66-9647-9f7d3b3111de.jpg,UK,9.63,GBP
218,62bc78b67b393b001207de96,L,Champion,US,Male,Mixed Fabric,Blue,Hoodies,Hoodies,Hoodie ,"Champion hoodie, size L, cotton Polly blend ",https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/9d031aea-d04b-4d43-b2da-bbfd71214328.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/5b6b627a-ecaa-4af6-86cf-0e9e99bbd525.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/0d637faf-b4ad-4053-903c-02e16123adcc.jpg,UK,9.63,GBP
