,id,size,brand,size_standard,gender,material,color,category,subcategory,name,description,picture_1,picture_2,picture_3,country,net_price,currency_code
76,628a95f84f1eda0012e4f2c1,XS,Sandro,EU,Female,Mixed Fabric,Navy,Jackets,Blazers and suit jackets,Sandro navy blazer ,"Sandro Navy blazer with velvet trims 
",https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/69b63964-b8e3-43ad-b324-a87c98fc7954.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/3e1c7aa3-2518-4002-a2c4-fea75f871512.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/8a56143c-65f1-4540-b271-31c8036e5db2.jpg,UK,31.59,GBP
79,628a9a724f1eda0012e4f387,XS,Pinko,EU,Female,Mixed Fabric,Black,Jackets,Waistcoats and gilets,Pinko tweed gilet,Pinko black tweed gilet with gold buttons ,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/e0eecab0-737a-43e5-bd82-d9a40649034f.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/355b6308-3c05-45e8-bb88-8162ee042c66.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/75b13043-a36d-483e-a5e8-646af1b44eb7.jpg,UK,25.7,GBP
82,6297facdda572c001304ad75,S,Kenzo,UK,Male,Cotton,Black,Sweaters and knitwear,Crew neck jumpers,Kenzo Paris Sweatshirt,"Men’s Kenzo Paris Black Sweatshirt, No Longer Available Anywhere!",https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/74f18f7f-23e8-4172-a557-237f3d0189df.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/029fd6ba-e2c7-445b-8e99-3956cc02eef3.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/5f457ae5-96f9-4a24-a1e5-469187ca75cf.jpg,UK,44.84,GBP
85,629929a80a186400141335b7,48,Dsquared2,EU,Male,Cotton - elasthane,Blue,Jeans,Slim jeans,Men’s Dsquared Jeans,Men’s Dsquared Sexy Twist Jeans,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/d385e4f0-4f0e-4fc7-ace7-6e2f1cb2ce70.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/55bcdd56-65fb-4c2d-a838-e85855badaf6.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/de489edb-3c93-4058-8581-8b43130ad049.jpg,UK,40.7,GBP
88,62992ae70a186400141335cb,M,Kenzo,UK,Male,Cotton,Silver,Sweaters and knitwear,Crew neck jumpers,Men’s Kenzo Sweatshirt,Men’s Kenzo Silver And Purple Glitter Sweatshirt,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/f7825e76-b18e-4336-8aad-4e34b4aab8e6.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/3dd71d0e-cbb6-483c-9605-fd7314b6fa34.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/7eede959-957c-42c6-91e0-7f610571edcc.jpg,UK,44.84,GBP
91,6299de090a186400141345ca,4,Anthropologie,US,Female,Polyester,Multicolour,Shorts,Mini shorts,Anthropologie Blue Amd Gold Shorts,Blue Tailored Shorts with Gold.,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/611d3afb-fce8-41f9-aa71-01fb7d7131ed.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/bc112544-e4f8-4de7-96de-936f6ddd0cc0.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/49198076-b3b9-4474-8a6a-d24502b56f47.jpg,UK,9.68,GBP
94,6299e8680a18640014134bb2,L,Ted Baker,UK,Female,Synthetic,Orange,Dresses,Office dresses,Ted Baker Knot Dress,Ted Baker Coral Knit Dres. BNWT,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/f13b583c-19ab-4186-b110-1b7ea0b586d3.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/30f91a5f-ff47-4818-8816-4d42a7c4cc41.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/9888aac8-763c-4707-9db8-3f1052ca6cba.jpg,UK,25.65,GBP
97,6299e9ec0a18640014134bf4,14,Self Portrait,UK,Female,Polyester,Black,Dresses,Night out dresses,Self Portait Guipere Evening Dress,Self Portrait Evening Dress with Guipere Lace Top.,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/fb01bf1a-4f81-4575-9bd9-265d361f1aa4.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/f6790aef-4f7b-4985-b5da-680eca7efea1.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/9f2018de-bb3d-4194-8ba5-73ab043e5bcf.jpg,UK,66.54,GBP
100,629b98cf67a29b00120dae1e,L,A Bathing Ape,UK,Male,Cotton,Black,Sweaters and knitwear,Zipped sweaters,A Bathing Ape Mens Designer Hoodie - Latge ,Mens Designer Bathungg Ape Hoodie BAPE - good condition size L ,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/bc915be1-213a-4f6f-9a3f-c340ca813ab1.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/f9d31aba-96cb-40d3-b7f8-cb49572dfedc.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/5548cf57-3665-435d-a1b7-78c050bb3255.jpg,UK,147.34,GBP
101,629bf8cb67a29b00120dbea9,2XL,Lacoste,UK,Male,Cotton,Red,Sweatshirts,Sweatshirts,Lacoste Sweatshirt,Lacoste Sweatshirt Red Mens XXL,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/d7102f0a-ffe9-48bc-8e9f-59894d8a82ec.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/d5f4aa29-e13c-4aa8-b84b-7fba0395184f.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/214d8349-43d1-4d2a-ad62-715737449995.jpg,UK,12.71,GBP
104,62a39a7f9f6aba0013fb21ca,6,Self Portrait,UK,Female,Polyester,White,Dresses,Casual and day dresses,White dress with black stripes,Perfect condition with no sign of wear,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/199a9811-e5f9-49f5-a3ea-8ed78f0ed2ed.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/0287b739-8c7f-40ab-9eaa-70ca1700bf94.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/d311e5c9-b31c-42cc-8388-18ba19ad8770.jpg,UK,68.99,GBP
106,62a39b0a9f6aba0013fb21e1,6,Self Portrait,UK,Female,Cotton - elasthane,Navy,Dresses,Casual and day dresses,Self portrait navy midi dress,Excellent condition. No sign of wear.,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/ed98ce39-6fb2-4209-a6a1-ce08ff0c0f55.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/3cf74a3c-deca-481e-931a-7f508c085c6f.jpg,https://s3.eu-west-1.amazonaws.com/assets.dev.cartediem.org/diem/909d02f6-945c-493a-a72e-fa4c70152473.jpg,UK,68.99,GBP
