device,manufacturer,capacity,network,grade,price_gbp,price_eur,price_usd,publishedAt
922,5,18,3,9,30,35.25,36.0,2022-06-17T18:11:17.382Z
922,5,18,3,10,15,17.625,18.0,2022-06-17T18:11:17.382Z
922,5,12,3,7,260,305.5,312.0,2022-06-17T18:11:17.382Z
922,5,12,3,8,160,188.0,192.0,2022-06-17T18:11:17.382Z
922,5,12,3,9,30,35.25,36.0,2022-06-17T18:11:17.382Z
922,5,12,3,10,15,17.625,18.0,2022-06-17T18:11:17.382Z
922,5,16,4,7,110,129.25,132.0,2022-06-17T18:11:17.382Z
922,5,16,4,8,30,35.25,36.0,2022-06-17T18:11:17.382Z
922,5,16,4,9,30,35.25,36.0,2022-06-17T18:11:17.382Z
922,5,16,4,10,15,17.625,18.0,2022-06-17T18:11:17.382Z
922,5,17,4,7,130,152.75,156.0,2022-06-17T18:11:17.382Z
922,5,17,4,8,40,47.0,48.0,2022-06-17T18:11:17.382Z
922,5,17,4,9,30,35.25,36.0,2022-06-17T18:11:17.382Z
922,5,17,4,10,15,17.625,18.0,2022-06-17T18:11:17.382Z
922,5,18,4,7,140,164.5,168.0,2022-06-17T18:11:17.382Z
922,5,18,4,8,40,47.0,48.0,2022-06-17T18:11:17.382Z
922,5,18,4,9,30,35.25,36.0,2022-06-17T18:11:17.382Z
922,5,18,4,10,15,17.625,18.0,2022-06-17T18:11:17.382Z
922,5,12,4,7,160,188.0,192.0,2022-06-17T18:11:17.382Z
922,5,12,4,8,60,70.5,72.0,2022-06-17T18:11:17.382Z
922,5,12,4,9,30,35.25,36.0,2022-06-17T18:11:17.382Z
922,5,12,4,10,15,17.625,18.0,2022-06-17T18:11:17.382Z
923,5,16,3,7,230,270.25,276.0,2022-06-17T18:11:17.382Z
923,5,16,3,8,130,152.75,156.0,2022-06-17T18:11:17.382Z
923,5,16,3,9,30,35.25,36.0,2022-06-17T18:11:17.382Z
923,5,16,3,10,15,17.625,18.0,2022-06-17T18:11:17.382Z
923,5,17,3,7,275,323.125,330.0,2022-06-17T18:11:17.382Z
923,5,17,3,8,175,205.625,210.0,2022-06-17T18:11:17.382Z
923,5,17,3,9,30,35.25,36.0,2022-06-17T18:11:17.382Z
923,5,17,3,10,15,17.625,18.0,2022-06-17T18:11:17.382Z
923,5,18,3,7,320,376.0,384.0,2022-06-17T18:11:17.382Z
923,5,18,3,8,220,258.5,264.0,2022-06-17T18:11:17.382Z
923,5,18,3,9,30,35.25,36.0,2022-06-17T18:11:17.382Z
923,5,18,3,10,15,17.625,18.0,2022-06-17T18:11:17.382Z
923,5,12,3,7,360,423.0,432.0,2022-06-17T18:11:17.382Z
923,5,12,3,8,260,305.5,312.0,2022-06-17T18:11:17.382Z
923,5,12,3,9,30,35.25,36.0,2022-06-17T18:11:17.382Z
923,5,12,3,10,15,17.625,18.0,2022-06-17T18:11:17.382Z
923,5,16,4,7,130,152.75,156.0,2022-06-17T18:11:17.382Z
923,5,16,4,8,30,35.25,36.0,2022-06-17T18:11:17.382Z
923,5,16,4,9,30,35.25,36.0,2022-06-17T18:11:17.382Z
923,5,16,4,10,15,17.625,18.0,2022-06-17T18:11:17.382Z
923,5,17,4,7,175,205.625,210.0,2022-06-17T18:11:17.382Z
923,5,17,4,8,75,88.125,90.0,2022-06-17T18:11:17.382Z
923,5,17,4,9,30,35.25,36.0,2022-06-17T18:11:17.382Z
923,5,17,4,10,15,17.625,18.0,2022-06-17T18:11:17.382Z
923,5,18,4,7,220,258.5,264.0,2022-06-17T18:11:17.382Z
923,5,18,4,8,120,141.0,144.0,2022-06-17T18:11:17.382Z
923,5,18,4,9,30,35.25,36.0,2022-06-17T18:11:17.382Z
923,5,18,4,10,15,17.625,18.0,2022-06-17T18:11:17.382Z
923,5,12,4,7,260,305.5,312.0,2022-06-17T18:11:17.382Z
923,5,12,4,8,160,188.0,192.0,2022-06-17T18:11:17.382Z
923,5,12,4,9,30,35.25,36.0,2022-06-17T18:11:17.382Z
923,5,12,4,10,15,17.625,18.0,2022-06-17T18:11:17.382Z
924,5,16,3,7,230,270.25,276.0,2022-06-17T18:11:17.382Z
924,5,16,3,8,130,152.75,156.0,2022-06-17T18:11:17.382Z
924,5,16,3,9,30,35.25,36.0,2022-06-17T18:11:17.382Z
924,5,16,3,10,15,17.625,18.0,2022-06-17T18:11:17.382Z
924,5,17,3,7,275,323.125,330.0,2022-06-17T18:11:17.382Z
924,5,17,3,8,175,205.625,210.0,2022-06-17T18:11:17.382Z
924,5,17,3,9,30,35.25,36.0,2022-06-17T18:11:17.382Z
924,5,17,3,10,15,17.625,18.0,2022-06-17T18:11:17.382Z
924,5,18,3,7,320,376.0,384.0,2022-06-17T18:11:17.382Z
924,5,18,3,8,220,258.5,264.0,2022-06-17T18:11:17.382Z
924,5,18,3,9,30,35.25,36.0,2022-06-17T18:11:17.382Z
924,5,18,3,10,15,17.625,18.0,2022-06-17T18:11:17.382Z
924,5,12,3,7,360,423.0,432.0,2022-06-17T18:11:17.382Z
924,5,12,3,8,260,305.5,312.0,2022-06-17T18:11:17.382Z
924,5,12,3,9,30,35.25,36.0,2022-06-17T18:11:17.382Z
924,5,12,3,10,15,17.625,18.0,2022-06-17T18:11:17.382Z
924,5,16,4,7,130,152.75,156.0,2022-06-17T18:11:17.382Z
924,5,16,4,8,30,35.25,36.0,2022-06-17T18:11:17.382Z
924,5,16,4,9,30,35.25,36.0,2022-06-17T18:11:17.382Z
924,5,16,4,10,15,17.625,18.0,2022-06-17T18:11:17.382Z
924,5,17,4,7,175,205.625,210.0,2022-06-17T18:11:17.382Z
924,5,17,4,8,75,88.125,90.0,2022-06-17T18:11:17.382Z
924,5,17,4,9,30,35.25,36.0,2022-06-17T18:11:17.382Z
924,5,17,4,10,15,17.625,18.0,2022-06-17T18:11:17.382Z
924,5,18,4,7,220,258.5,264.0,2022-06-17T18:11:17.382Z
924,5,18,4,8,120,141.0,144.0,2022-06-17T18:11:17.382Z
924,5,18,4,9,30,35.25,36.0,2022-06-17T18:11:17.382Z
924,5,18,4,10,15,17.625,18.0,2022-06-17T18:11:17.382Z
924,5,12,4,7,260,305.5,312.0,2022-06-17T18:11:17.382Z
924,5,12,4,8,160,188.0,192.0,2022-06-17T18:11:17.382Z
924,5,12,4,9,30,35.25,36.0,2022-06-17T18:11:17.382Z
924,5,12,4,10,15,17.625,18.0,2022-06-17T18:11:17.382Z
925,5,13,3,7,250,293.75,300.0,2022-06-17T18:11:17.382Z
925,5,13,3,8,150,176.25,180.0,2022-06-17T18:11:17.382Z
925,5,13,3,9,30,35.25,36.0,2022-06-17T18:11:17.382Z
925,5,13,3,10,15,17.625,18.0,2022-06-17T18:11:17.382Z
925,5,17,3,7,270,317.25,324.0,2022-06-17T18:11:17.382Z
925,5,17,3,8,170,199.75,204.0,2022-06-17T18:11:17.382Z
925,5,17,3,9,30,35.25,36.0,2022-06-17T18:11:17.382Z
925,5,17,3,10,15,17.625,18.0,2022-06-17T18:11:17.382Z
925,5,18,3,7,290,340.75,348.0,2022-06-17T18:11:17.382Z
925,5,18,3,8,190,223.25,228.0,2022-06-17T18:11:17.382Z
925,5,18,3,9,30,35.25,36.0,2022-06-17T18:11:17.382Z
925,5,18,3,10,15,17.625,18.0,2022-06-17T18:11:17.382Z
925,5,12,3,7,320,376.0,384.0,2022-06-17T18:11:17.382Z
925,5,12,3,8,220,258.5,264.0,2022-06-17T18:11:17.382Z
925,5,12,3,9,30,35.25,36.0,2022-06-17T18:11:17.382Z
925,5,12,3,10,15,17.625,18.0,2022-06-17T18:11:17.382Z
925,5,13,4,7,150,176.25,180.0,2022-06-17T18:11:17.382Z
925,5,13,4,8,50,58.75,60.0,2022-06-17T18:11:17.382Z
925,5,13,4,9,30,35.25,36.0,2022-06-17T18:11:17.382Z
925,5,13,4,10,15,17.625,18.0,2022-06-17T18:11:17.382Z
925,5,17,4,7,170,199.75,204.0,2022-06-17T18:11:17.382Z
925,5,17,4,8,70,82.25,84.0,2022-06-17T18:11:17.382Z
925,5,17,4,9,30,35.25,36.0,2022-06-17T18:11:17.382Z
925,5,17,4,10,15,17.625,18.0,2022-06-17T18:11:17.382Z
925,5,18,4,7,190,223.25,228.0,2022-06-17T18:11:17.382Z
925,5,18,4,8,90,105.75,108.0,2022-06-17T18:11:17.382Z
925,5,18,4,9,30,35.25,36.0,2022-06-17T18:11:17.382Z
925,5,18,4,10,15,17.625,18.0,2022-06-17T18:11:17.382Z
925,5,12,4,7,220,258.5,264.0,2022-06-17T18:11:17.382Z
925,5,12,4,8,120,141.0,144.0,2022-06-17T18:11:17.382Z
925,5,12,4,9,30,35.25,36.0,2022-06-17T18:11:17.382Z
925,5,12,4,10,15,17.625,18.0,2022-06-17T18:11:17.382Z
926,5,13,3,7,250,293.75,300.0,2022-06-17T18:11:17.382Z
926,5,13,3,8,150,176.25,180.0,2022-06-17T18:11:17.382Z
926,5,13,3,9,30,35.25,36.0,2022-06-17T18:11:17.382Z
926,5,13,3,10,15,17.625,18.0,2022-06-17T18:11:17.382Z
926,5,17,3,7,270,317.25,324.0,2022-06-17T18:11:17.382Z
926,5,17,3,8,170,199.75,204.0,2022-06-17T18:11:17.382Z
926,5,17,3,9,30,35.25,36.0,2022-06-17T18:11:17.382Z
926,5,17,3,10,15,17.625,18.0,2022-06-17T18:11:17.382Z
926,5,18,3,7,290,340.75,348.0,2022-06-17T18:11:17.382Z
926,5,18,3,8,190,223.25,228.0,2022-06-17T18:11:17.382Z
926,5,18,3,9,30,35.25,36.0,2022-06-17T18:11:17.382Z
926,5,18,3,10,15,17.625,18.0,2022-06-17T18:11:17.382Z
926,5,12,3,7,320,376.0,384.0,2022-06-17T18:11:17.382Z
926,5,12,3,8,220,258.5,264.0,2022-06-17T18:11:17.382Z
926,5,12,3,9,30,35.25,36.0,2022-06-17T18:11:17.382Z
926,5,12,3,10,15,17.625,18.0,2022-06-17T18:11:17.382Z
926,5,13,4,7,150,176.25,180.0,2022-06-17T18:11:17.382Z
926,5,13,4,8,50,58.75,60.0,2022-06-17T18:11:17.382Z
926,5,13,4,9,30,35.25,36.0,2022-06-17T18:11:17.382Z
926,5,13,4,10,15,17.625,18.0,2022-06-17T18:11:17.382Z
926,5,17,4,7,170,199.75,204.0,2022-06-17T18:11:17.382Z
926,5,17,4,8,70,82.25,84.0,2022-06-17T18:11:17.382Z
926,5,17,4,9,30,35.25,36.0,2022-06-17T18:11:17.382Z
926,5,17,4,10,15,17.625,18.0,2022-06-17T18:11:17.382Z
926,5,18,4,7,190,223.25,228.0,2022-06-17T18:11:17.382Z
926,5,18,4,8,90,105.75,108.0,2022-06-17T18:11:17.382Z
926,5,18,4,9,30,35.25,36.0,2022-06-17T18:11:17.382Z
926,5,18,4,10,15,17.625,18.0,2022-06-17T18:11:17.382Z
926,5,12,4,7,220,258.5,264.0,2022-06-17T18:11:17.382Z
926,5,12,4,8,120,141.0,144.0,2022-06-17T18:11:17.382Z
926,5,12,4,9,30,35.25,36.0,2022-06-17T18:11:17.382Z
926,5,12,4,10,15,17.625,18.0,2022-06-17T18:11:17.382Z
927,5,13,3,7,350,411.25,420.0,2022-06-17T18:11:17.382Z
927,5,13,3,8,250,293.75,300.0,2022-06-17T18:11:17.382Z
927,5,13,3,9,30,35.25,36.0,2022-06-17T18:11:17.382Z
927,5,13,3,10,15,17.625,18.0,2022-06-17T18:11:17.382Z
927,5,17,3,7,400,470.0,480.0,2022-06-17T18:11:17.382Z
927,5,17,3,8,300,352.5,360.0,2022-06-17T18:11:17.382Z
927,5,17,3,9,30,35.25,36.0,2022-06-17T18:11:17.382Z
927,5,17,3,10,15,17.625,18.0,2022-06-17T18:11:17.382Z
927,5,18,3,7,430,505.25,516.0,2022-06-17T18:11:17.382Z
927,5,18,3,8,330,387.75,396.0,2022-06-17T18:11:17.382Z
927,5,18,3,9,30,35.25,36.0,2022-06-17T18:11:17.382Z
927,5,18,3,10,15,17.625,18.0,2022-06-17T18:11:17.382Z
927,5,12,3,7,430,505.25,516.0,2022-06-17T18:11:17.382Z
927,5,12,3,8,330,387.75,396.0,2022-06-17T18:11:17.382Z
927,5,12,3,9,30,35.25,36.0,2022-06-17T18:11:17.382Z
927,5,12,3,10,15,17.625,18.0,2022-06-17T18:11:17.382Z
927,5,13,4,7,250,293.75,300.0,2022-06-17T18:11:17.382Z
927,5,13,4,8,150,176.25,180.0,2022-06-17T18:11:17.382Z
927,5,13,4,9,30,35.25,36.0,2022-06-17T18:11:17.382Z
927,5,13,4,10,15,17.625,18.0,2022-06-17T18:11:17.382Z
927,5,17,4,7,300,352.5,360.0,2022-06-17T18:11:17.382Z
927,5,17,4,8,200,235.0,240.0,2022-06-17T18:11:17.382Z
927,5,17,4,9,30,35.25,36.0,2022-06-17T18:11:17.382Z
927,5,17,4,10,15,17.625,18.0,2022-06-17T18:11:17.382Z
927,5,18,4,7,330,387.75,396.0,2022-06-17T18:11:17.382Z
927,5,18,4,8,230,270.25,276.0,2022-06-17T18:11:17.382Z
927,5,18,4,9,30,35.25,36.0,2022-06-17T18:11:17.382Z
927,5,18,4,10,15,17.625,18.0,2022-06-17T18:11:17.382Z
927,5,12,4,7,330,387.75,396.0,2022-06-17T18:11:17.382Z
927,5,12,4,8,230,270.25,276.0,2022-06-17T18:11:17.382Z
927,5,12,4,9,30,35.25,36.0,2022-06-17T18:11:17.382Z
927,5,12,4,10,15,17.625,18.0,2022-06-17T18:11:17.382Z
928,5,13,3,7,350,411.25,420.0,2022-06-17T18:11:17.382Z
928,5,13,3,8,250,293.75,300.0,2022-06-17T18:11:17.382Z
928,5,13,3,9,30,35.25,36.0,2022-06-17T18:11:17.382Z
928,5,13,3,10,15,17.625,18.0,2022-06-17T18:11:17.382Z
928,5,17,3,7,400,470.0,480.0,2022-06-17T18:11:17.382Z
928,5,17,3,8,300,352.5,360.0,2022-06-17T18:11:17.382Z
928,5,17,3,9,30,35.25,36.0,2022-06-17T18:11:17.382Z
928,5,17,3,10,15,17.625,18.0,2022-06-17T18:11:17.382Z
928,5,18,3,7,430,505.25,516.0,2022-06-17T18:11:17.382Z
928,5,18,3,8,330,387.75,396.0,2022-06-17T18:11:17.382Z
928,5,18,3,9,30,35.25,36.0,2022-06-17T18:11:17.382Z
928,5,18,3,10,15,17.625,18.0,2022-06-17T18:11:17.382Z
928,5,12,3,7,430,505.25,516.0,2022-06-17T18:11:17.382Z
928,5,12,3,8,330,387.75,396.0,2022-06-17T18:11:17.382Z
928,5,12,3,9,30,35.25,36.0,2022-06-17T18:11:17.382Z
928,5,12,3,10,15,17.625,18.0,2022-06-17T18:11:17.382Z
928,5,13,4,7,250,293.75,300.0,2022-06-17T18:11:17.382Z
928,5,13,4,8,150,176.25,180.0,2022-06-17T18:11:17.382Z
928,5,13,4,9,30,35.25,36.0,2022-06-17T18:11:17.382Z
928,5,13,4,10,15,17.625,18.0,2022-06-17T18:11:17.382Z
928,5,17,4,7,300,352.5,360.0,2022-06-17T18:11:17.382Z
928,5,17,4,8,200,235.0,240.0,2022-06-17T18:11:17.382Z
928,5,17,4,9,30,35.25,36.0,2022-06-17T18:11:17.382Z
928,5,17,4,10,15,17.625,18.0,2022-06-17T18:11:17.382Z
928,5,18,4,7,330,387.75,396.0,2022-06-17T18:11:17.382Z
928,5,18,4,8,230,270.25,276.0,2022-06-17T18:11:17.382Z
928,5,18,4,9,30,35.25,36.0,2022-06-17T18:11:17.382Z
928,5,18,4,10,15,17.625,18.0,2022-06-17T18:11:17.382Z
928,5,12,4,7,330,387.75,396.0,2022-06-17T18:11:17.382Z
928,5,12,4,8,230,270.25,276.0,2022-06-17T18:11:17.382Z
928,5,12,4,9,30,35.25,36.0,2022-06-17T18:11:17.382Z
