id,device
3137,921
3138,921
3139,921
3140,921
3141,921
3142,921
3143,921
3144,921
3145,921
3146,921
3147,921
3148,921
3149,921
3150,921
3151,921
3152,921
3153,921
3154,921
3155,921
3156,921
3157,921
3158,921
3159,921
3160,921
3161,921
3162,921
3163,921
3164,921
3165,921
3166,921
3167,921
3168,921
3169,922
3170,922
3171,922
3172,922
3173,922
3174,922
3175,922
3176,922
3177,922
3178,922
3179,922
3180,922
3181,922
3182,922
3183,922
3184,922
3185,922
3186,922
3187,922
3188,922
3189,922
3190,922
3191,922
3192,922
3193,922
3194,922
3195,922
3196,922
3197,922
3198,922
3199,922
3200,922
3201,923
3202,923
3203,923
3204,923
3205,923
3206,923
3207,923
3208,923
3209,923
3210,923
3211,923
3212,923
3213,923
3214,923
3215,923
3216,923
3217,923
3218,923
3219,923
3220,923
3221,923
3222,923
3223,923
3224,923
3225,923
3226,923
3227,923
3228,923
3229,923
3230,923
3231,923
3232,923
3233,924
3234,924
3235,924
3236,924
3237,924
3238,924
3239,924
3240,924
3241,924
3242,924
3243,924
3244,924
3245,924
3246,924
3247,924
3248,924
3249,924
3250,924
3251,924
3252,924
3253,924
3254,924
3255,924
3256,924
3257,924
3258,924
3259,924
3260,924
3261,924
3262,924
3263,924
3264,924
3265,925
3266,925
3267,925
3268,925
3269,925
3270,925
3271,925
3272,925
3273,925
3274,925
3275,925
3276,925
3277,925
3278,925
3279,925
3280,925
3281,925
3282,925
3283,925
3284,925
3285,925
3286,925
3287,925
3288,925
3289,925
3290,925
3291,925
3292,925
3293,925
3294,925
3295,925
3296,925
3297,926
3298,926
3299,926
3300,926
3301,926
3302,926
3303,926
3304,926
3305,926
3306,926
3307,926
3308,926
3309,926
3310,926
3311,926
3312,926
3313,926
3314,926
3315,926
3316,926
3317,926
3318,926
3319,926
3320,926
3321,926
3322,926
3323,926
3324,926
3325,926
3326,926
3327,926
3328,926
3329,927
3330,927
3331,927
3332,927
3333,927
3334,927
3335,927
3336,927
3337,927
3338,927
3339,927
3340,927
3341,927
3342,927
3343,927
3344,927
3345,927
3346,927
3347,927
3348,927
3349,927
3350,927
3351,927
3352,927
3353,927
3354,927
3355,927
3356,927
3357,927
3358,927
3359,927
3360,927
3361,928
3362,928
3363,928
3364,928
3365,928
3366,928
3367,928
3368,928
3369,928
3370,928
3371,928
3372,928
3373,928
3374,928
3375,928
3376,928
3377,928
3378,928
3379,928
3380,928
3381,928
3382,928
3383,928
3384,928
3385,928
3386,928
3387,928
3388,928
3389,928
3390,928
3391,928
3392,928
3393,929
3394,929
3395,929
3396,929
3397,929
3398,929
3399,929
3400,929
3401,929
3402,929
3403,929
3404,929
3405,929
3406,929
3407,929
3408,929
3409,929
3410,929
3411,929
3412,929
3413,929
3414,929
