id,name,manufacturer,image,network,capacity,grade_a,grade_b,grade_c,grade_d,grade_e
923,iPad Pro 3 (2018) 12.9 WiFi,Apple,https://lifeboat-media.s3.eu-west-2.amazonaws.com/ipad%20pro%2012.9%202018.jpeg5c615fbf90583.jpeg,Locked,1,,260,160,30,15
924,iPad Pro 3 (2018) 12.9 WiFi & Cellular,Apple,https://lifeboat-media.s3.eu-west-2.amazonaws.com/ipad%20pro%2012.9%202018.jpeg5c615fbf90583.jpeg,Unlocked,64,,230,130,30,15
924,iPad Pro 3 (2018) 12.9 WiFi & Cellular,Apple,https://lifeboat-media.s3.eu-west-2.amazonaws.com/ipad%20pro%2012.9%202018.jpeg5c615fbf90583.jpeg,Unlocked,256,,275,175,30,15
924,iPad Pro 3 (2018) 12.9 WiFi & Cellular,Apple,https://lifeboat-media.s3.eu-west-2.amazonaws.com/ipad%20pro%2012.9%202018.jpeg5c615fbf90583.jpeg,Unlocked,512,,320,220,30,15
924,iPad Pro 3 (2018) 12.9 WiFi & Cellular,Apple,https://lifeboat-media.s3.eu-west-2.amazonaws.com/ipad%20pro%2012.9%202018.jpeg5c615fbf90583.jpeg,Unlocked,1,,360,260,30,15
924,iPad Pro 3 (2018) 12.9 WiFi & Cellular,Apple,https://lifeboat-media.s3.eu-west-2.amazonaws.com/ipad%20pro%2012.9%202018.jpeg5c615fbf90583.jpeg,Locked,64,,130,30,30,15
924,iPad Pro 3 (2018) 12.9 WiFi & Cellular,Apple,https://lifeboat-media.s3.eu-west-2.amazonaws.com/ipad%20pro%2012.9%202018.jpeg5c615fbf90583.jpeg,Locked,256,,175,75,30,15
924,iPad Pro 3 (2018) 12.9 WiFi & Cellular,Apple,https://lifeboat-media.s3.eu-west-2.amazonaws.com/ipad%20pro%2012.9%202018.jpeg5c615fbf90583.jpeg,Locked,512,,220,120,30,15
924,iPad Pro 3 (2018) 12.9 WiFi & Cellular,Apple,https://lifeboat-media.s3.eu-west-2.amazonaws.com/ipad%20pro%2012.9%202018.jpeg5c615fbf90583.jpeg,Locked,1,,260,160,30,15
925,iPad Pro 4 (2020) 11 WiFi,Apple,https://lifeboat-media.s3.eu-west-2.amazonaws.com/Pro%202020%2011.jpg5f045806ae9c3.jpg,Unlocked,128,,250,150,30,15
925,iPad Pro 4 (2020) 11 WiFi,Apple,https://lifeboat-media.s3.eu-west-2.amazonaws.com/Pro%202020%2011.jpg5f045806ae9c3.jpg,Unlocked,256,,270,170,30,15
925,iPad Pro 4 (2020) 11 WiFi,Apple,https://lifeboat-media.s3.eu-west-2.amazonaws.com/Pro%202020%2011.jpg5f045806ae9c3.jpg,Unlocked,512,,290,190,30,15
925,iPad Pro 4 (2020) 11 WiFi,Apple,https://lifeboat-media.s3.eu-west-2.amazonaws.com/Pro%202020%2011.jpg5f045806ae9c3.jpg,Unlocked,1,,320,220,30,15
925,iPad Pro 4 (2020) 11 WiFi,Apple,https://lifeboat-media.s3.eu-west-2.amazonaws.com/Pro%202020%2011.jpg5f045806ae9c3.jpg,Locked,128,,150,50,30,15
925,iPad Pro 4 (2020) 11 WiFi,Apple,https://lifeboat-media.s3.eu-west-2.amazonaws.com/Pro%202020%2011.jpg5f045806ae9c3.jpg,Locked,256,,170,70,30,15
925,iPad Pro 4 (2020) 11 WiFi,Apple,https://lifeboat-media.s3.eu-west-2.amazonaws.com/Pro%202020%2011.jpg5f045806ae9c3.jpg,Locked,512,,190,90,30,15
925,iPad Pro 4 (2020) 11 WiFi,Apple,https://lifeboat-media.s3.eu-west-2.amazonaws.com/Pro%202020%2011.jpg5f045806ae9c3.jpg,Locked,1,,220,120,30,15
926,iPad Pro 4 (2020) 11 WiFi & Cellular,Apple,https://lifeboat-media.s3.eu-west-2.amazonaws.com/Pro%202020%2011.jpg5f04587cf0286.jpg,Unlocked,128,,250,150,30,15
926,iPad Pro 4 (2020) 11 WiFi & Cellular,Apple,https://lifeboat-media.s3.eu-west-2.amazonaws.com/Pro%202020%2011.jpg5f04587cf0286.jpg,Unlocked,256,,270,170,30,15
926,iPad Pro 4 (2020) 11 WiFi & Cellular,Apple,https://lifeboat-media.s3.eu-west-2.amazonaws.com/Pro%202020%2011.jpg5f04587cf0286.jpg,Unlocked,512,,290,190,30,15
926,iPad Pro 4 (2020) 11 WiFi & Cellular,Apple,https://lifeboat-media.s3.eu-west-2.amazonaws.com/Pro%202020%2011.jpg5f04587cf0286.jpg,Unlocked,1,,320,220,30,15
926,iPad Pro 4 (2020) 11 WiFi & Cellular,Apple,https://lifeboat-media.s3.eu-west-2.amazonaws.com/Pro%202020%2011.jpg5f04587cf0286.jpg,Locked,128,,150,50,30,15
926,iPad Pro 4 (2020) 11 WiFi & Cellular,Apple,https://lifeboat-media.s3.eu-west-2.amazonaws.com/Pro%202020%2011.jpg5f04587cf0286.jpg,Locked,256,,170,70,30,15
926,iPad Pro 4 (2020) 11 WiFi & Cellular,Apple,https://lifeboat-media.s3.eu-west-2.amazonaws.com/Pro%202020%2011.jpg5f04587cf0286.jpg,Locked,512,,190,90,30,15
926,iPad Pro 4 (2020) 11 WiFi & Cellular,Apple,https://lifeboat-media.s3.eu-west-2.amazonaws.com/Pro%202020%2011.jpg5f04587cf0286.jpg,Locked,1,,220,120,30,15
927,iPad Pro 4 (2020) 12.9 WiFi,Apple,https://lifeboat-media.s3.eu-west-2.amazonaws.com/Pro%202020%2012.9.jpg5f0458f2e6081.jpg,Unlocked,128,,350,250,30,15
927,iPad Pro 4 (2020) 12.9 WiFi,Apple,https://lifeboat-media.s3.eu-west-2.amazonaws.com/Pro%202020%2012.9.jpg5f0458f2e6081.jpg,Unlocked,256,,400,300,30,15
927,iPad Pro 4 (2020) 12.9 WiFi,Apple,https://lifeboat-media.s3.eu-west-2.amazonaws.com/Pro%202020%2012.9.jpg5f0458f2e6081.jpg,Unlocked,512,,430,330,30,15
927,iPad Pro 4 (2020) 12.9 WiFi,Apple,https://lifeboat-media.s3.eu-west-2.amazonaws.com/Pro%202020%2012.9.jpg5f0458f2e6081.jpg,Unlocked,1,,430,330,30,15
927,iPad Pro 4 (2020) 12.9 WiFi,Apple,https://lifeboat-media.s3.eu-west-2.amazonaws.com/Pro%202020%2012.9.jpg5f0458f2e6081.jpg,Locked,128,,250,150,30,15
927,iPad Pro 4 (2020) 12.9 WiFi,Apple,https://lifeboat-media.s3.eu-west-2.amazonaws.com/Pro%202020%2012.9.jpg5f0458f2e6081.jpg,Locked,256,,300,200,30,15
927,iPad Pro 4 (2020) 12.9 WiFi,Apple,https://lifeboat-media.s3.eu-west-2.amazonaws.com/Pro%202020%2012.9.jpg5f0458f2e6081.jpg,Locked,512,,330,230,30,15
927,iPad Pro 4 (2020) 12.9 WiFi,Apple,https://lifeboat-media.s3.eu-west-2.amazonaws.com/Pro%202020%2012.9.jpg5f0458f2e6081.jpg,Locked,1,,330,230,30,15
928,iPad Pro 4 (2020) 12.9 WiFi & Cellular,Apple,https://lifeboat-media.s3.eu-west-2.amazonaws.com/Pro%202020%2012.9.jpg5f0459531c6b0.jpgg,Unlocked,128,,350,250,30,15
928,iPad Pro 4 (2020) 12.9 WiFi & Cellular,Apple,https://lifeboat-media.s3.eu-west-2.amazonaws.com/Pro%202020%2012.9.jpg5f0459531c6b0.jpgg,Unlocked,256,,400,300,30,15
928,iPad Pro 4 (2020) 12.9 WiFi & Cellular,Apple,https://lifeboat-media.s3.eu-west-2.amazonaws.com/Pro%202020%2012.9.jpg5f0459531c6b0.jpgg,Unlocked,512,,430,330,30,15
928,iPad Pro 4 (2020) 12.9 WiFi & Cellular,Apple,https://lifeboat-media.s3.eu-west-2.amazonaws.com/Pro%202020%2012.9.jpg5f0459531c6b0.jpgg,Unlocked,1,,430,330,30,15
928,iPad Pro 4 (2020) 12.9 WiFi & Cellular,Apple,https://lifeboat-media.s3.eu-west-2.amazonaws.com/Pro%202020%2012.9.jpg5f0459531c6b0.jpgg,Locked,128,,250,150,30,15
