Device Id,Capacity Id,Make,Model,GB,Network,Grade A,Grade B,Grade C,Grade D,Grade E
9925,8,Apple,iPhone 12 Mini,256,Unlocked,,365,265,60,30
9922,5,Apple,iPhone 12 Pro,128,Unlocked,,475,375,80,40
9922,8,Apple,iPhone 12 Pro,256,Unlocked,,500,400,80,40
9922,10,Apple,iPhone 12 Pro,512,Unlocked,,520,420,80,40
9923,5,Apple,iPhone 12 Pro Max,128,Unlocked,,547,447,80,40
9923,8,Apple,iPhone 12 Pro Max,256,Unlocked,,568,468,80,40
9923,10,Apple,iPhone 12 Pro Max,512,Unlocked,,592,492,80,40
9973,5,Apple,iPhone 13,128,Unlocked,,485,385,80,40
9973,8,Apple,iPhone 13,256,Unlocked,,545,445,80,40
9973,10,Apple,iPhone 13,512,Unlocked,,570,470,80,40
9974,5,Apple,iPhone 13 Mini,128,Unlocked,,355,275,80,40
9974,8,Apple,iPhone 13 Mini,256,Unlocked,,375,295,80,40
9974,10,Apple,iPhone 13 Mini,512,Unlocked,,410,330,80,40
9975,5,Apple,iPhone 13 Pro,128,Unlocked,,650,520,80,40
9975,8,Apple,iPhone 13 Pro,256,Unlocked,,710,580,80,40
9975,10,Apple,iPhone 13 Pro,512,Unlocked,,735,605,80,40
9975,11,Apple,iPhone 13 Pro,1TB,Unlocked,,745,615,80,40
9976,5,Apple,iPhone 13 Pro Max,128,Unlocked,,655,525,80,40
9976,8,Apple,iPhone 13 Pro Max,256,Unlocked,,740,610,80,40
9976,10,Apple,iPhone 13 Pro Max,512,Unlocked,,760,630,80,40
9976,11,Apple,iPhone 13 Pro Max,1TB,Unlocked,,785,655,80,40
9,2,Apple,iPhone 6,16,Unlocked,,0,0,0,0
9,3,Apple,iPhone 6,32,Unlocked,,0,0,0,0
9,4,Apple,iPhone 6,64,Unlocked,,0,0,0,0
9,5,Apple,iPhone 6,128,Unlocked,,0,0,0,0
10,2,Apple,iPhone 6 Plus,16,Unlocked,,0,0,0,0
10,3,Apple,iPhone 6 Plus,32,Unlocked,,0,0,0,0
10,4,Apple,iPhone 6 Plus,64,Unlocked,,0,0,0,0
10,5,Apple,iPhone 6 Plus,128,Unlocked,,0,0,0,0
11,2,Apple,iPhone 6S,16,Unlocked,,0,0,0,0
11,3,Apple,iPhone 6S,32,Unlocked,,38,23,2,1
11,4,Apple,iPhone 6S,64,Unlocked,,0,0,0,0
11,5,Apple,iPhone 6S,128,Unlocked,,0,0,0,0
12,2,Apple,iPhone 6S Plus,16,Unlocked,,0,0,0,0
12,3,Apple,iPhone 6S Plus,32,Unlocked,,0,0,0,0
12,4,Apple,iPhone 6S Plus,64,Unlocked,,0,0,0,0
12,5,Apple,iPhone 6S Plus,128,Unlocked,,0,0,0,0
14,3,Apple,iPhone 7,32,Unlocked,,53,33,4,2
14,5,Apple,iPhone 7,128,Unlocked,,63,43,4,2
14,8,Apple,iPhone 7,256,Unlocked,,63,43,4,2
15,3,Apple,iPhone 7 Plus,32,Unlocked,,80,50,4,2
15,5,Apple,iPhone 7 Plus,128,Unlocked,,90,55,4,2
15,8,Apple,iPhone 7 Plus,256,Unlocked,,90,55,4,2
88,4,Apple,iPhone 8,64,Unlocked,,94,64,10,5
88,5,Apple,iPhone 8,128,Unlocked,,94,64,10,5
88,8,Apple,iPhone 8,256,Unlocked,,116,81,10,5
89,4,Apple,iPhone 8 Plus,64,Unlocked,,128,93,14,7
89,5,Apple,iPhone 8 Plus,128,Unlocked,,128,93,14,7
89,8,Apple,iPhone 8 Plus,256,Unlocked,,143,108,14,7
13,2,Apple,iPhone SE,16,Unlocked,,0,0,0,0
13,3,Apple,iPhone SE,32,Unlocked,,0,0,0,0
13,4,Apple,iPhone SE,64,Unlocked,,0,0,0,0
13,5,Apple,iPhone SE,128,Unlocked,,0,0,0,0
2207,4,Apple,iPhone SE (2020),64,Unlocked,,100,60,14,7
2207,5,Apple,iPhone SE (2020),128,Unlocked,,120,80,14,7
2207,8,Apple,iPhone SE (2020),256,Unlocked,,120,80,14,7
119,4,Apple,iPhone X,64,Unlocked,,155,110,20,10
119,8,Apple,iPhone X,256,Unlocked,,185,135,20,10
248,4,Apple,iPhone XR,64,Unlocked,,160,115,20,10
248,5,Apple,iPhone XR,128,Unlocked,,185,135,20,10
248,8,Apple,iPhone XR,256,Unlocked,,185,135,20,10
204,4,Apple,iPhone XS,64,Unlocked,,153,103,30,15
204,8,Apple,iPhone XS,256,Unlocked,,170,120,30,15
204,10,Apple,iPhone XS,512,Unlocked,,190,140,30,15
205,4,Apple,iPhone XS Max,64,Unlocked,,190,130,30,15
205,8,Apple,iPhone XS Max,256,Unlocked,,210,150,30,15
205,10,Apple,iPhone XS Max,512,Unlocked,,210,150,30,15
360,4,Google,Pixel 4,64,Unlocked,,0,0,0,0
360,5,Google,Pixel 4,128,Unlocked,,0,0,0,0
